time,filtered_pose/dx,filtered_pose/dy,filtered_pose/dz,filtered_pose/p,filtered_pose/pitch,filtered_pose/q,filtered_pose/r,filtered_pose/roll,filtered_pose/timestamp,filtered_pose/vxb,filtered_pose/vyb,filtered_pose/x,filtered_pose/xb,filtered_pose/y,filtered_pose/yaw,filtered_pose/yb,filtered_pose/z,u_control/timestamp,u_control/ux,u_control/uy,u_control/uyaw,u_control/uz
1749762457.171535,-0.051542700,0.000733639,-0.012234600,0.022901300,0.020250500,0.093423400,-0.002834690,-0.011474500,1749762457.171535015,0.050424091,-0.010705102,0.228916000,-0.075905224,-0.767429000,-2.946630000,0.797237858,1.456180000,,,,,
1749762457.173410,,,,,,,,,,,,,,,,,,1749762457.173409939,0.250000000,0.000000000,0.000000000,0.000000000
1749762457.181719,-0.055359000,0.000101906,-0.011369900,0.021955100,0.019894800,0.084544500,-0.003331760,-0.011383000,1749762457.181719065,0.054291558,-0.010819240,0.227846000,-0.074918933,-0.767513000,-2.946730000,0.797105488,1.456180000,,,,,
1749762457.191694,-0.059250700,-0.000529104,-0.010501500,0.021682900,0.019532700,0.076232700,-0.004503390,-0.011203000,1749762457.191694021,0.058234088,-0.010941500,0.226727000,-0.073970854,-0.767604000,-2.946940000,0.796962575,1.456190000,,,,,
1749762457.201676,-0.063083100,-0.001127930,-0.009570160,0.019702300,0.019505100,0.070795800,-0.006349940,-0.011273900,1749762457.201675892,0.062113378,-0.011076013,0.225578000,-0.073072772,-0.767696000,-2.947250000,0.796807977,1.456220000,,,,,
1749762457.203494,,,,,,,,,,,,,,,,,,1749762457.203494072,0.250000000,0.000000000,0.000000000,0.000000000
1749762457.211717,-0.066822500,-0.001727600,-0.008630470,0.016915800,0.019614900,0.066678500,-0.006943090,-0.011481700,1749762457.211716890,0.065899873,-0.011199906,0.224404000,-0.072021255,-0.767795000,-2.947400000,0.796667594,1.456260000,,,,,
1749762457.215647,,,,,,,,,,,,,,,,,,1749762457.215646982,0.250000000,0.000000000,0.000000000,0.000000000
1749762457.221554,-0.070473100,-0.002334540,-0.007775250,0.012730200,0.019810400,0.063434700,-0.007214750,-0.011920600,1749762457.221554041,0.069600223,-0.011301191,0.223205000,-0.070912148,-0.767900000,-2.947510000,0.796531449,1.456300000,,,,,
1749762457.231781,-0.073854800,-0.002940570,-0.006898610,0.009501120,0.020173400,0.061567000,-0.006489150,-0.012262400,1749762457.231781006,0.073034973,-0.011360947,0.222009000,-0.069693302,-0.768011000,-2.947480000,0.796411788,1.456350000,,,,,
1749762457.234422,,,,,,,,,,,,,,,,,,1749762457.234421968,0.250000000,0.000000000,0.000000000,0.000000000
1749762457.241740,-0.076147400,-0.003442600,-0.006073670,0.006603290,0.020473400,0.059394400,-0.005799430,-0.012588400,1749762457.241739988,0.075380904,-0.011313593,0.220938000,-0.068590696,-0.768114000,-2.947440000,0.796309006,1.456400000,,,,,
1749762457.251706,-0.079794400,-0.003931360,-0.005492780,0.006796410,0.020500200,0.055490200,-0.005106590,-0.012494300,1749762457.251705885,0.079053219,-0.011540813,0.219646000,-0.067270866,-0.768219000,-2.947400000,0.796165453,1.456420000,,,,,
1749762457.261581,-0.083572700,-0.004370720,-0.004785220,0.007933430,0.020385700,0.050882400,-0.003911830,-0.012261200,1749762457.261580944,0.082843866,-0.011848768,0.218299000,-0.065833787,-0.768322000,-2.947280000,0.796014486,1.456470000,,,,,
1749762457.265153,,,,,,,,,,,,,,,,,,1749762457.265152931,0.250000000,0.000000000,0.000000000,0.000000000
1749762457.265266,,,,,,,,,,,,,,,,,,1749762457.265265942,0.250000000,0.000000000,0.000000000,0.000000000
1749762457.271603,-0.086124700,-0.004714860,-0.004126330,0.008853920,0.020245700,0.046416800,-0.002836140,-0.012048100,1749762457.271603107,0.085412848,-0.012014126,0.217093000,-0.064536827,-0.768416000,-2.947160000,0.795881598,1.456520000,,,,,
1749762457.281741,-0.090468300,-0.005257990,-0.003367970,0.007249270,0.019823400,0.040314800,-0.002577490,-0.012192700,1749762457.281740904,0.089779419,-0.012321354,0.215601000,-0.063040638,-0.768542000,-2.947150000,0.795717585,1.456590000,,,,,
1749762457.291698,-0.095001300,-0.005825880,-0.002618450,0.005835980,0.019307500,0.033989200,-0.002801760,-0.012325500,1749762457.291697979,0.094337482,-0.012634370,0.214037000,-0.061527759,-0.768677000,-2.947210000,0.795544155,1.456660000,,,,,
1749762457.295591,,,,,,,,,,,,,,,,,,1749762457.295591116,0.250000000,0.000000000,0.000000000,0.000000000
1749762457.301699,-0.098109800,-0.006269120,-0.001942170,0.004552830,0.018802900,0.028176400,-0.002972360,-0.012453600,1749762457.301698923,0.097473697,-0.012795045,0.212636000,-0.060169155,-0.768800000,-2.947260000,0.795391213,1.456740000,,,,,
1749762457.311676,-0.102587000,-0.006874660,-0.001182530,0.001587750,0.018220000,0.022224600,-0.004473500,-0.012838900,1749762457.311676025,0.101986821,-0.013040007,0.211004000,-0.058737712,-0.768950000,-2.947510000,0.795208571,1.456830000,,,,,
1749762457.315762,,,,,,,,,,,,,,,,,,1749762457.315762043,0.250000000,0.000000000,0.000000000,0.000000000
1749762457.321702,-0.106760000,-0.007402900,-0.000502011,0.001304290,0.017700200,0.017116800,-0.005009930,-0.012864200,1749762457.321702003,0.106184952,-0.013313774,0.209372000,-0.057203598,-0.769096000,-2.947630000,0.795030213,1.456910000,,,,,
1749762457.326557,,,,,,,,,,,,,,,,,,1749762457.326556921,0.250000000,0.000000000,0.000000000,0.000000000
1749762457.331684,-0.110694000,-0.007948540,0.000143536,0.002355250,0.017351500,0.013538900,-0.004122520,-0.012698400,1749762457.331684113,0.110149270,-0.013545451,0.207733000,-0.055502252,-0.769249000,-2.947550000,0.794868872,1.457000000,,,,,
